,first_name,last_name,gender,prev_donor,occupation,ages,salary
0,Jammal,Dowdney,1,1,Physican,27,185655
1,Modesta,Giffkins,0,1,Farmer,39,64208
2,Kellyann,Petrecz,0,1,Web Developer,50,65898
3,Spike,Rippingall,1,1,Product Manager,21,120777
4,Meier,Pappin,1,0,Sales Manager,40,110962
5,Filia,Dunk,0,1,Actor,70,52303
6,Irene,Paddison,0,0,Bartender,44,19728
7,Gideon,Alderwick,1,1,Physican Assistant,43,99073
8,Conn,Darlison,1,0,Dentist,58,156625
9,Napoleon,Jagiela,1,0,Actor,77,53418
10,Lorette,Lanktree,0,1,Nurse,43,67376
11,Vernice,Spendlove,0,0,Electrical Engineer,53,97223
12,Suzette,MacHoste,0,0,Tax Manager,36,121886
13,Bari,O'Carroll,0,1,Police Officer,62,59934
14,Ardelia,Pendall,0,0,Accountant,72,65547
15,Junia,Riley,0,0,Accountant,66,65890
16,Arlen,Pocknoll,0,0,Farmer,82,63582
17,Albina,Grigolashvill,0,1,Lawyer,65,115505
18,Izaak,Gildersleeve,1,1,Physican Assistant,63,100089
19,Anderson,Mazzilli,1,1,Actor,28,52105
20,Con,Luthwood,0,0,Police Officer,76,61529
21,Della,McGing,0,0,Chef,78,41383
22,Reidar,Durkin,1,1,Orthodontist,81,207741
23,Skyler,Heinreich,1,1,Marketing Manager,42,123431
24,Farley,Agget,1,1,Driver,58,40991
25,Wash,Tointon,1,1,Bartender,47,19612
26,Suzanne,Redgate,0,0,Finance Manager,43,123042
27,Annie,Byer,0,0,Chemical Engineer,68,96911
28,Mar,Emmot,1,0,Security Guard,36,23899
29,Bertina,Ryal,0,0,Physican,27,188551
30,Nicolle,Lintin,0,1,Accountant,34,65260
31,Ardys,Terbeek,0,0,Product Manager,69,117383
32,Noni,Kilgannon,0,1,Product Manager,45,121188
33,Cassie,Veneur,0,0,Civil Engineer,48,84482
34,Arlinda,Issacof,0,1,Farmer,37,64446
35,Ashlen,Eaves,0,1,Risk Manager,81,127014
36,Hatty,Matthewman,0,1,Finance Manager,63,125058
37,Lanie,Kemitt,1,1,Paramedic,44,32275
38,Jocelin,Muzzillo,0,1,Accountant,48,67281
39,Hayyim,Kittley,1,1,Flight Attendant,50,44562
40,Angie,Letson,0,1,Risk Manager,67,126558
41,Tybalt,Battershall,1,0,Sales Manager,76,114831
42,Germain,McCurtin,1,1,Professor,42,69669
43,Cherin,Ternouth,0,0,Bartender,78,20110
44,Luz,Vuitte,0,1,Farmer,71,60812
45,Gothart,Yoodall,1,0,Paramedic,42,31568
46,Celie,Terrazzo,0,0,Accountant,78,69085
47,Chic,Cordes,1,1,Professor,39,73664
48,Wainwright,Kainz,1,1,Actor,39,51036
49,Rafaellle,Lennon,1,1,Data Scientist,55,112663
50,Carlie,Brockway,1,1,Social Worker,55,45311
51,Kenny,Dunkerton,1,0,Actor,56,53339
52,Royal,Monteith,1,0,Pilot,57,104211
53,Dahlia,Swanbourne,0,0,Music Artist,25,31637
54,Pia,Shimoni,0,1,Psychologist,75,70526
55,Gayle,Gronw,0,1,Secretary,53,35163
56,Udall,Gusney,1,1,Professor,78,70795
57,Carola,Yeandel,0,1,Dentist,45,160277
58,Lyda,Barniss,0,0,Farmer,66,65217
59,Kitti,Simnell,0,1,Paramedic,36,32953
60,Stephie,Little,0,0,Occupational Therapist,53,81272
61,Stanislaw,Cariss,1,0,Electrical Engineer,72,94199
62,Raye,Hellwing,0,0,Social Worker,37,46149
63,Ramsay,Trimmill,1,0,Marketing Manager,50,125129
64,Marleen,Philo,0,1,Soldier,52,34335
65,Reid,Ivan,1,0,Flight Attendant,84,45966
66,Roderich,Marwick,1,1,Actor,42,51842
67,Joann,Milazzo,0,1,Risk Manager,36,124179
68,Christiana,Pickersail,0,0,Security Guard,65,25303
69,Valene,Taleworth,0,1,Farmer,69,67795
70,Feliza,Sampey,0,1,Occupational Therapist,21,79861
71,Devon,Corrigan,0,0,Chemical Engineer,67,94314
72,Robb,Buxcey,1,1,Dentist,26,161958
73,Perry,Umpleby,0,0,Pilot,28,102491
74,Harrison,Spadelli,1,1,Politician,24,169233
75,Tricia,Matantsev,0,0,Politician,63,172029
76,Jobyna,Adanet,0,0,Professor,46,72822
77,Sheilah,Smitherham,0,1,Marketing Manager,53,127985
78,Kellina,Anthon,0,0,Professor,80,71057
79,Shell,Kingsly,1,1,Marketing Manager,22,121009
80,Leonelle,Peverell,0,0,Geologist,80,92578
81,Shanda,Gencke,0,1,Farmer,64,63917
82,Roshelle,Dunbobin,0,0,Sales Manager,45,111536
83,Twyla,Geeson,0,0,Teacher,40,60262
84,Hetti,Jansa,0,0,Surgeon,67,188738
85,Allene,Morpeth,0,1,Risk Manager,48,123328
86,Sebastien,Padly,1,1,Secretary,79,36000
87,Theodoric,Burch,1,1,Soldier,30,32923
88,Thoma,Ploughwright,1,0,Electrical Engineer,34,97452
89,Wynn,Whyborn,0,1,Data Scientist,34,115547
90,Elmira,Asser,0,1,Economist,64,97261
91,Caroline,Bursell,0,0,Actor,31,51549
92,Brandy,Reany,1,1,Risk Manager,57,126165
93,Theda,Thaim,0,1,Professor,65,69357
94,Dur,Sewards,1,1,Orthodontist,30,214561
95,Baryram,Wilkie,1,0,Secretary,35,35963
96,Caprice,Furniss,0,1,Chef,30,42589
97,Westbrook,Gautrey,1,1,Social Worker,44,44378
98,Dante,Cloughton,1,1,Secretary,74,36215
99,Goldi,Poetz,0,0,Web Developer,84,65768
100,Nydia,Wisam,0,0,Recruiter,61,61797
101,Winna,Cutts,0,0,Chef,24,41135
102,Jacquenette,Dillet,0,0,Social Worker,83,44778
103,Natty,Splevin,1,0,Dentist,65,158784
104,Magdalena,Breach,0,1,Orthodontist,84,209374
105,Herb,Normavill,1,1,Social Worker,51,45396
106,Jordana,McFadin,0,1,Recruiter,68,60304
107,Emmit,Liebrecht,1,1,Teacher,39,58440
108,Sheryl,Sergison,0,0,Sales Manager,22,115466
109,Bastien,Lieb,1,1,Sales Manager,38,114129
110,Gerard,Lief,1,1,Psychologist,51,72159
111,Waylan,Swadlin,1,1,Lawyer,81,112082
112,Sibbie,Splevings,0,0,Accountant,58,65231
113,Saraann,Creedland,0,0,Driver,52,42844
114,Pat,Carstairs,0,1,Writer,75,59311
115,Christa,Spours,0,0,Police Officer,70,60627
116,Marys,Grimditch,0,1,Driver,78,42192
117,Janeczka,McKimmie,0,0,Data Scientist,77,113313
118,Katina,Birnie,0,0,Teacher,45,58856
119,Freemon,Jenk,1,1,Lawyer,64,112975
120,Godwin,Broun,1,0,Bartender,51,19176
121,Yolane,Cutsforth,0,0,Finance Manager,83,123558
122,Renaldo,Beale,1,0,Orthodontist,75,218158
123,Isidora,Beaver,0,0,Web Developer,39,64846
124,Tandie,Bullingham,0,0,Chemical Engineer,38,94437
125,Concordia,Stocker,0,0,Professor,26,72140
126,Bary,Brandreth,1,0,Electrical Engineer,40,93972
127,Grenville,Hallowes,1,1,Pilot,65,104282
128,Hewitt,Wix,1,1,Chef,42,42191
129,Jarvis,Woodlands,1,0,Web Developer,67,63263
130,Eolanda,Triebner,0,0,Sales Manager,51,118025
131,Jody,Pengilley,1,1,Bartender,46,19979
132,Barnett,Whitemarsh,1,0,Secretary,22,36948
133,Maximilian,Birchill,1,0,Finance Manager,56,127995
134,Marshall,Skures,1,0,Chef,26,41283
135,Thatch,Fowlston,1,1,Social Worker,52,45934
136,Leela,Lages,0,0,Sales Manager,32,111228
137,Kristen,Wickenden,0,1,Chef,80,40848
138,Walt,Pfeffle,1,1,Writer,84,60329
139,Nealson,Lidgerton,1,0,Pilot,75,102211
140,Adrienne,Karlik,0,0,Geologist,30,90564
141,Rani,Baxandall,0,0,Driver,54,41002
142,Elia,Billyeald,1,0,Risk Manager,53,121766
143,Charlena,Overland,0,0,Mechanical Engineer,71,82958
144,Raynell,McWhannel,0,1,Bartender,35,19623
145,Nadia,Holstein,0,1,Product Manager,58,116457
146,Odo,Smee,1,1,Politician,62,173888
147,Jobey,Padden,0,1,Sales Manager,22,113022
148,Alix,Mathissen,1,1,Police Officer,38,62707
149,Florian,Hammarberg,1,0,Marketing Manager,59,125059
150,Nerty,Cathenod,0,0,Economist,62,99653
151,Brigitte,Danbye,0,1,Nurse,65,68136
152,Lizbeth,Logg,0,0,Cashier,30,19096
153,Federica,Jendrach,0,0,Risk Manager,34,124377
154,Lolly,Whardley,0,1,Mechanical Engineer,34,86736
155,Alberto,Blenkinsop,1,0,Professor,82,72438
156,Ethelred,Matuszak,1,0,Physical Therapist,62,81274
157,Hunfredo,Bakeup,1,1,Actor,83,50830
158,Stanleigh,MacGall,1,1,Security Guard,42,24023
159,Carmine,Brocklebank,0,1,Driver,82,40838
160,Hayward,Ranstead,1,1,Data Scientist,83,113822
161,Viviyan,Shallcross,0,0,Lawyer,40,117904
162,Ashley,Syson,1,0,Recruiter,43,60368
163,Rozelle,Wanjek,0,1,Actor,53,52013
164,Arvin,But,1,1,Bartender,84,19693
165,Aurilia,Dibbs,0,1,Driver,72,40289
166,Robbie,Sigge,1,0,Nurse,23,64776
167,Flori,Benedite,0,1,Occupational Therapist,59,79811
168,Duff,Gebbie,1,1,Physican,24,195054
169,Irwin,Treadway,1,1,Doctor,62,192572
170,Herman,Whyley,1,1,Electrical Engineer,22,93414
171,Rod,Binner,1,0,Risk Manager,34,128768
172,Kerwin,Kealy,1,0,Actor,82,50526
173,Larry,Kirvell,1,1,Actor,71,49071
174,Sigmund,Tallant,1,1,Web Developer,80,64089
175,Tristan,Stoak,1,1,Chemical Engineer,69,95513
176,Letty,Barradell,0,0,Paramedic,40,31139
177,Wendye,Baden,0,1,Economist,74,97331
178,Helen,Arunowicz,0,1,Politician,72,176992
179,Nikkie,Lovell,0,1,Surgeon,71,188399
180,Kev,Sempill,1,0,Electrical Engineer,45,97580
181,Ursulina,Wulfinger,0,0,Bartender,35,19772
182,Linell,Bowring,0,1,Police Officer,80,60634
183,Cammy,Dearl,1,1,Product Manager,69,118785
184,Tamarra,Kees,0,0,Writer,66,59842
185,Keir,Tomkins,1,0,Police Officer,60,59190
186,Hercule,O' Cuolahan,1,1,Accountant,72,67730
187,Lancelot,Mc Pake,1,0,Web Developer,45,64370
188,Franciska,Gocke,0,0,Writer,44,60208
189,Fiorenze,Raisbeck,0,0,Mechanical Engineer,24,84504
190,Gwen,Scrowston,0,1,Flight Attendant,52,43950
191,Seamus,Way,1,0,Occupational Therapist,57,82634
192,Frederico,Manoch,1,1,Software Developer,49,78172
193,Othelia,Vokes,0,0,Orthodontist,66,198985
194,Saunder,Goodwyn,1,0,Civil Engineer,56,83685
195,Sigismond,Coules,1,0,Bartender,56,19901
196,Sayre,Kemball,0,1,Risk Manager,22,127648
197,Rita,Warboy,0,0,Police Officer,57,59989
198,Del,Burds,1,0,Farmer,75,67423
199,Stillmann,Gosswell,1,1,Electrical Engineer,41,98844
200,Lemuel,Jennick,1,1,Bartender,82,19886
201,Gilemette,Rau,0,0,Mechanical Engineer,69,83727
202,Laryssa,Lambshine,0,1,Music Artist,29,32804
203,Allen,Haines,1,0,Driver,41,41803
204,Talia,Yearne,0,1,Accountant,39,69425
205,Jorge,Fedorchenko,1,0,Teacher,37,56761
206,Jen,Domaschke,0,0,Secretary,74,36170
207,Dulcie,Povey,0,0,Nurse,53,68093
208,Maximilien,Piniur,1,1,Risk Manager,76,124393
209,Patience,Martinelli,0,0,Dentist,34,156749
210,Hayden,Leteurtre,1,0,Professor,61,73187
211,Gussy,McEnery,0,0,Physican,34,184490
212,Yulma,Parkes,1,0,Actor,23,52099
213,Tillie,Filshin,0,1,Marketing Manager,60,121421
214,Sigfried,Vaszoly,1,1,Psychologist,70,72562
215,Barnett,Postins,1,1,Sales Manager,56,110307
216,Reilly,Legrice,1,0,Pilot,29,98632
217,Quintus,Arrowsmith,1,1,Secretary,42,36978
218,Golda,Kleeborn,0,1,Web Developer,63,68273
219,Rocky,Francey,1,1,Teacher,33,60535
220,Fredra,Mantram,0,0,Finance Manager,43,129123
221,Gregoor,Pedroni,1,1,Mechanical Engineer,84,85046
222,Budd,Huguenet,1,1,Actor,40,51916
223,Andonis,Tock,1,0,Economist,65,102431
224,Buck,Golder,1,0,Cashier,58,18622
225,Nero,Larwell,1,0,Professor,84,71951
226,Kerr,Cousens,1,1,Mechanical Engineer,45,83555
227,Broddy,Casement,1,1,Music Artist,58,33499
228,Joy,St. Queintain,0,1,Pharmacist,82,113382
229,Eldin,Kiddle,1,0,Secretary,39,35586
230,Alonso,Dawtre,1,0,Software Developer,24,81867
231,Penelope,Burfoot,0,1,Pilot,68,100399
232,Liz,Whooley,0,1,Social Worker,30,43916
233,Leonard,Prestedge,1,0,Nurse,26,64791
234,Rowen,Awin,1,1,Surgeon,25,188231
235,Hildegarde,Lonsdale,0,1,Bartender,50,19567
236,Wendie,Isselee,0,1,Farmer,38,62881
237,Nickie,Gogan,1,1,Economist,39,99323
238,Cara,Swindon,0,0,Civil Engineer,43,78749
239,Lindi,Primmer,0,0,Driver,49,42358
240,Roseline,Longhorn,0,0,Geologist,61,89321
241,Gwyneth,Eagers,0,0,Paramedic,60,31975
242,Gayla,Rops,0,1,Physican,82,186224
243,Henri,Teresi,1,1,Chemical Engineer,70,101465
244,Arden,Grummitt,0,1,Electrical Engineer,45,93032
245,Natalya,Dowsing,0,0,Chemical Engineer,59,94765
246,Alisa,Halsho,0,1,Teacher,85,58476
247,Kirby,Testro,0,1,Music Artist,26,31849
248,Gabrila,Sneezum,0,1,Doctor,60,193788
249,Netti,McAne,0,0,Chemical Engineer,81,100510
250,Dunc,Wickwar,1,0,Lawyer,66,117255
251,Fraze,Calterone,1,0,Chemical Engineer,85,99430
252,Peria,Reaper,0,0,Social Worker,82,46176
253,Fannie,Bremen,0,1,Nurse,55,68105
254,Wilma,Ivancevic,0,0,Nurse,41,67033
255,Stefanie,Aggiss,0,0,Mechanical Engineer,76,83906
256,Gawain,Massei,1,1,Orthodontist,33,213520
257,Camala,Langhor,0,1,Paramedic,68,32579
258,Bobbe,Hradsky,0,0,Professor,52,70853
259,Ardys,Elix,0,1,Psychologist,33,70800
260,De witt,Phonix,1,1,Web Developer,51,64396
261,Gerri,Fairall,0,0,Paramedic,26,31417
262,Georgena,Sibborn,0,1,Physican Assistant,60,96436
263,Serene,Pogson,0,0,Occupational Therapist,77,78260
264,Trudie,Roy,0,1,Pilot,49,99373
265,Constantina,Van Der Hoog,0,1,Sales Manager,49,114565
266,Salomon,Pietrusiak,1,0,Sales Manager,40,112354
267,Pennie,Leaton,1,0,Economist,34,98063
268,Rica,Bratt,0,0,Physical Therapist,58,84321
269,Montague,Avramovitz,1,0,Civil Engineer,57,86848
270,Ciro,By,1,0,Nurse,68,66130
271,Chicky,Shoulder,1,1,Actor,84,49745
272,Zachery,Vsanelli,1,1,Police Officer,27,60780
273,Elsie,Heaysman,0,0,Software Developer,73,82361
274,Judye,Joyce,0,0,Dentist,42,165136
275,Ralina,Curson,0,1,Sales Manager,57,117281
276,Alvis,Croom,1,0,Doctor,67,188361
277,Daron,Tetsall,0,0,Doctor,51,183915
278,Gerard,Sherred,1,0,Physican,46,188627
279,Rock,Ivimey,1,1,Music Artist,21,32474
280,Harv,Currin,1,0,Politician,34,174989
281,Klarrisa,Sargint,0,1,Risk Manager,81,128461
282,Mycah,Holligan,1,0,Chef,47,40823
283,Deeann,Adamik,0,0,Product Manager,29,121050
284,Ofilia,Tayler,0,0,Occupational Therapist,30,79373
285,Donetta,Weatherhill,0,0,Surgeon,48,186302
286,Rudy,Folini,1,1,Secretary,39,37580
287,Brandy,Macveigh,0,0,Orthodontist,28,202960
288,Chrysa,De Biasio,0,0,Pilot,80,103003
289,Tracy,Constable,0,1,Cashier,32,18939
290,Chen,Larkin,1,0,Actor,25,50947
291,Imojean,Pendergrast,0,0,Paramedic,25,32485
292,Bradly,Ehrat,1,1,Electrical Engineer,46,95497
293,Hildagarde,Gianettini,0,0,Flight Attendant,29,45340
294,Horatio,Frow,1,1,Chef,27,41889
295,Addy,Smith,1,0,Economist,83,98213
296,Vernen,Macieiczyk,1,1,Chemical Engineer,34,94859
297,Mackenzie,Schrinel,1,0,Nurse,71,67011
298,Vernice,Critchley,0,1,Professor,36,71908
299,Blair,Kennham,1,1,Paramedic,54,30812
300,Sherwood,Howle,1,0,Soldier,57,34001
301,Carlina,Roe,0,1,Accountant,26,68419
302,Maribelle,Maffini,0,1,Mechanical Engineer,69,86311
303,Horst,Mallabund,1,1,Surgeon,63,186504
304,Paton,Kinforth,1,0,Pharmacist,83,113090
305,Nikolaos,Bevis,1,1,Paramedic,83,32295
306,Jerry,Dodds,0,1,Civil Engineer,25,81585
307,Gretchen,de Marco,0,1,Accountant,69,66873
308,Michal,Gricks,0,1,Orthodontist,42,205474
309,Royall,Moroney,1,1,Recruiter,62,61374
310,Lauri,Blennerhassett,0,0,Software Developer,74,76994
311,Ulric,Perutto,1,0,Politician,33,174845
312,Homere,Evins,1,1,Lawyer,75,115596
313,Jacquetta,Ovanesian,0,0,Mechanical Engineer,30,83341
314,Luella,Dimmne,0,1,Cashier,22,20206
315,Fairfax,Dulake,1,0,Physican,68,189870
316,Brande,Burnsyde,0,1,Marketing Manager,85,127660
317,Gerick,Coucha,1,1,Product Manager,44,124578
318,Hanan,Bortoli,1,1,Pilot,67,99433
319,Hortense,Bray,0,1,Product Manager,35,123488
320,Noemi,Whetson,0,0,Lawyer,76,113234
321,Goran,Dutteridge,1,0,Recruiter,70,62255
322,Filia,Monteith,0,0,Risk Manager,39,122776
323,Olenolin,Ferrarello,1,1,Bartender,40,19340
324,Haven,Gellan,1,1,Nurse,32,67347
325,Cullie,Ourry,1,1,Software Developer,38,77767
326,Sandie,Wiz,0,1,Music Artist,52,30780
327,Rosanne,Cowherd,0,0,Mechanical Engineer,49,82675
328,Sigvard,Lyness,1,0,Surgeon,80,186790
329,Patric,Coping,1,1,Psychologist,36,73375
