first_name,last_name,gender,prev_donor,occupation,ages,salary,donated
Jammal,Dowdney,1,1,Physican,76,187200,1
Modesta,Giffkins,0,1,Farmer,53,64170,1
Kellyann,Petrecz,0,1,Web Developer,66,64970,0
Spike,Rippingall,1,1,Product Manager,74,120152,1
Meier,Pappin,1,0,Sales Manager,63,113860,0
Filia,Dunk,0,1,Actor,54,52000,1
Irene,Paddison,0,0,Bartender,76,19530,0
Gideon,Alderwick,1,1,Physican Assistant,77,98180,1
Conn,Darlison,1,0,Dentist,70,158310,1
Napoleon,Jagiela,1,0,Actor,23,52000,0
Lorette,Lanktree,0,1,Nurse,27,67490,0
Vernice,Spendlove,0,0,Electrical Engineer,80,95230,0
Suzette,MacHoste,0,0,Tax Manager,26,120397,0
Bari,O'Carroll,0,1,Police Officer,82,60270,0
Ardelia,Pendall,0,0,Accountant,79,67190,0
Junia,Riley,0,0,Accountant,76,67190,1
Arlen,Pocknoll,0,0,Farmer,65,64170,1
Albina,Grigolashvill,0,1,Lawyer,75,115820,1
Izaak,Gildersleeve,1,1,Physican Assistant,39,98180,1
Anderson,Mazzilli,1,1,Actor,60,52000,0
Con,Luthwood,0,0,Police Officer,51,60270,1
Della,McGing,0,0,Chef,40,41500,1
Reidar,Durkin,1,1,Orthodontist,67,208000,0
Skyler,Heinreich,1,1,Marketing Manager,59,124850,1
Farley,Agget,1,1,Driver,21,41260,0
Wash,Tointon,1,1,Bartender,81,19530,0
Suzanne,Redgate,0,0,Finance Manager,80,125080,1
Annie,Byer,0,0,Chemical Engineer,22,97360,0
Mar,Emmot,1,0,Security Guard,69,24680,0
Bertina,Ryal,0,0,Physican,65,187200,1
Nicolle,Lintin,0,1,Accountant,49,67190,1
Ardys,Terbeek,0,0,Product Manager,44,120152,1
Noni,Kilgannon,0,1,Product Manager,80,120152,1
Cassie,Veneur,0,0,Civil Engineer,41,82220,1
Arlinda,Issacof,0,1,Farmer,74,64170,1
Ashlen,Eaves,0,1,Risk Manager,72,125688,0
Hatty,Matthewman,0,1,Finance Manager,76,125080,1
Lanie,Kemitt,1,1,Paramedic,33,31980,1
Jocelin,Muzzillo,0,1,Accountant,53,67190,1
Hayyim,Kittley,1,1,Flight Attendant,22,44860,0
Angie,Letson,0,1,Risk Manager,80,125688,0
Tybalt,Battershall,1,0,Sales Manager,40,113860,1
Germain,McCurtin,1,1,Professor,79,72470,1
Cherin,Ternouth,0,0,Bartender,55,19530,1
Luz,Vuitte,0,1,Farmer,35,64170,1
Gothart,Yoodall,1,0,Paramedic,47,31980,0
Celie,Terrazzo,0,0,Accountant,55,67190,1
Chic,Cordes,1,1,Professor,63,72470,0
Wainwright,Kainz,1,1,Actor,52,52000,1
Rafaellle,Lennon,1,1,Data Scientist,54,113436,1
Carlie,Brockway,1,1,Social Worker,28,45900,0
Kenny,Dunkerton,1,0,Actor,48,52000,1
Royal,Monteith,1,0,Pilot,32,102250,1
Dahlia,Swanbourne,0,0,Music Artist,67,32193,0
Pia,Shimoni,0,1,Psychologist,30,72580,0
Gayle,Gronw,0,1,Secretary,40,36500,1
Udall,Gusney,1,1,Professor,79,72470,1
Carola,Yeandel,0,1,Dentist,57,158310,1
Lyda,Barniss,0,0,Farmer,64,64170,0
Kitti,Simnell,0,1,Paramedic,28,31980,0
Stephie,Little,0,0,Occupational Therapist,78,80150,1
Stanislaw,Cariss,1,0,Electrical Engineer,58,95230,0
Raye,Hellwing,0,0,Social Worker,85,45900,0
Ramsay,Trimmill,1,0,Marketing Manager,51,124850,1
Marleen,Philo,0,1,Soldier,44,33624,1
Reid,Ivan,1,0,Flight Attendant,32,44860,1
