first_name,last_name,gender,prev_donor,occupation,ages,salary,donated,prediction
Hobard,Huckle,1,0,Flight Attendant,39,44860,0,0.66
Giuditta,Errowe,0,0,Surgeon,59,187500,1,0.85
Mercie,Chippin,0,0,Bartender,45,19530,1,0.79
Lorinda,Curnokk,0,0,Orthodontist,70,208000,0,0.67
Roxane,Worman,0,1,Occupational Therapist,80,80150,0,0.64
Ludvig,Hasson,1,1,Writer,79,60250,1,0.84
Casar,Faltin,1,1,Cashier,42,19310,1,0.76
Margarette,Bennet,0,0,Flight Attendant,71,44860,1,0.76
Leda,Pollicott,0,0,Accountant,64,67190,0,0.71
Tanner,Presswell,1,0,Marketing Manager,41,124850,1,0.81
Valene,Bernaert,0,0,Driver,33,41260,1,0.88
Theresina,Corby,0,0,Police Officer,65,60270,0,0.75
Merl,Chidley,0,1,Physican,37,187200,0,0.82
Doreen,Gaddes,0,1,Physican,26,187200,0,0.04
Skippie,Mottershaw,1,1,Recruiter,56,61910,1,0.73
Lyndsey,Brann,0,1,Flight Attendant,45,44860,1,0.77
Gayelord,Solan,1,0,Farmer,58,64170,0,0.71
Sidney,Yurocjkin,1,0,Physical Therapist,80,84020,1,0.71
Fifi,Loxly,0,1,Chemical Engineer,24,97360,0,0.01
Fancy,Doddridge,0,1,Security Guard,22,24680,0,0.03
Diena,Kording,0,0,Data Scientist,59,113436,0,0.81
Adah,Lescop,0,0,Security Guard,27,24680,0,0.0
Hadrian,Salvadore,1,1,Risk Manager,54,125688,0,0.68
Aretha,Grimsley,0,1,Occupational Therapist,75,80150,1,0.68
Hyacinthia,Joreau,0,0,Secretary,25,36500,0,0.0
Bearnard,Creak,1,1,Software Developer,22,79530,0,0.0
Dun,Archley,1,0,Mechanical Engineer,47,83590,1,0.74
Electra,Pinwill,0,0,Security Guard,23,24680,0,0.0
Kirby,Neary,0,1,Physical Therapist,64,84020,1,0.76
Tiffie,Belson,0,1,Farmer,43,64170,1,0.69
Arel,Dominy,1,1,Professor,41,72470,1,0.79
Stephanie,Arens,0,0,Actor,39,52000,1,0.8
Hube,Artinstall,1,1,Paramedic,39,31980,0,0.64
Taylor,Dressel,1,1,Cashier,21,19310,0,0.01
Minnaminnie,Jakobssen,0,0,Physican,68,187200,1,0.84
Timofei,Hyrons,1,1,Professor,41,72470,1,0.79
Joelynn,Masham,0,0,Chef,26,41500,0,0.01
Maje,Shankland,1,1,Driver,56,41260,1,0.7
Jeddy,Mohring,1,0,Accountant,32,67190,1,0.55
Reyna,Kay,0,0,Lawyer,74,115820,1,0.81
Haydon,Belderfield,1,0,Orthodontist,83,208000,0,0.47
Amerigo,Dixey,1,0,Teacher,79,58950,1,0.84
Edgardo,Arthy,1,0,Flight Attendant,32,44860,0,0.6
Reinwald,Coleford,1,0,Marketing Manager,35,124850,1,0.71
Lawton,Govan,1,0,Doctor,76,187200,1,0.66
Page,Nicholls,1,1,Occupational Therapist,47,80150,1,0.75
Beth,Blacket,0,1,Physical Therapist,26,84020,0,0.0
Devondra,Coggins,0,1,Soldier,33,33624,0,0.83
Gabriella,Petren,0,1,Flight Attendant,47,44860,1,0.83
Augusto,Tadlow,1,0,Physical Therapist,44,84020,1,0.68
Adena,Hazel,0,1,Sales Manager,32,113860,1,0.9
Carlo,Bakster,1,1,Paramedic,76,31980,0,0.76
Nobie,Risebrow,1,0,Web Developer,78,64970,1,0.81
Sunshine,Smallbone,0,0,Finance Manager,65,125080,0,0.68
